"user_id","game_name","payment_month","total_revenue","age","language","previous_paid_month","next_paid_month","next_calendar_month","prev_calendar_month","previous_revenue","future_revenue","new_mrr","new_paid_users","paid_users","expansion_mrr","contraction_mrr","churned_revenue","churned_users","churn_month"
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-07-01 00:00:00.000 +0300,57.39,16,uk,,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,,57.60,57.39,1,1,0,0,0,0,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-08-01 00:00:00.000 +0300,57.60,16,uk,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,57.39,96.66,0,0,1,0.21,0,0,0,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-09-01 00:00:00.000 +0300,96.66,16,uk,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,57.60,86.01,0,0,1,39.06,0,0,0,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-10-01 00:00:00.000 +0300,86.01,16,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,96.66,85.32,0,0,1,0,10.65,0,0,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-11-01 00:00:00.000 +0200,85.32,16,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,86.01,14.97,0,0,1,0,0.69,0,0,
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-12-01 00:00:00.000 +0200,14.97,16,uk,2022-11-01 00:00:00.000 +0200,,2023-01-01,2022-11-01,85.32,,0,0,1,0,70.35,14.97,1,2023-01-01
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-07-01 00:00:00.000 +0300,72.57,19,uk,,2022-08-01 00:00:00.000 +0300,2022-08-01,2022-06-01,,133.05,72.57,1,1,0,0,0,0,
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-08-01 00:00:00.000 +0300,133.05,19,uk,2022-07-01 00:00:00.000 +0300,2022-09-01 00:00:00.000 +0300,2022-09-01,2022-07-01,72.57,52.32,0,0,1,60.48,0,0,0,
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-09-01 00:00:00.000 +0300,52.32,19,uk,2022-08-01 00:00:00.000 +0300,2022-10-01 00:00:00.000 +0300,2022-10-01,2022-08-01,133.05,67.17,0,0,1,0,80.73,0,0,
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-10-01 00:00:00.000 +0300,67.17,19,uk,2022-09-01 00:00:00.000 +0300,2022-11-01 00:00:00.000 +0200,2022-11-01,2022-09-01,52.32,96.30,0,0,1,14.85,0,0,0,
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-11-01 00:00:00.000 +0200,96.30,19,uk,2022-10-01 00:00:00.000 +0300,2022-12-01 00:00:00.000 +0200,2022-12-01,2022-10-01,67.17,131.10,0,0,1,29.13,0,0,0,
